מספר רכב,יצרן,דגם,צבע,שנה,תאריך טסט
14324201,קיה,ריו,לבן,2018,19/02/2027
1523834,מיצובישי,אטראז,שחור,2015,08/06/2026
16420301,מיצובישי,אטראז,לבן,2017,27/11/2026
16538002,טויוטה,פריוס פלוס,לבן,2020,19/02/2027
18184701,ניסן,מיקרה,כסף,2017,16/07/2025
18253401,ניסן,מיקרה,כסף,2017,25/07/2026
18638401,ניסן,מיקרה,לבן,2017,13/12/2026
18648901,ניסן,מיקרה,כסף,2017,06/09/2026
19334101,ניסן,מיקרה,כסף,2017,10/12/2026
22080602,טויוטה,קורולה,לבן,2020,05/07/2026
22172202,טויוטה,קורולה,לבן,2020,11/07/2026
22569102,טויוטה,קורולה,לבן,2020,13/09/2026
2568833,ניסן,מיקרה,כסף,2015,19/08/2026
26377901,פיאט,טיפו,,2017,06/11/2026
2988034,מיצובישי,אטראז,אפור,2015,22/08/2026
32770902,טויוטה,קורולה,לבן,2020,14/11/2026
35890101,פיאט,טיפו,כסף,2017,17/12/2025
35892901,פיאט,טיפו,לבן,2017,17/12/2026
35895701,פיאט,טיפו,ברונזה,2017,18/12/2026
35895901,פיאט,טיפו,ברונזה,2017,18/12/2026
41017001,קיה,פורטה,לבן,2018,15/07/2026
41017904,קאיה,סטוניק,לבן,2025,20/10/2026
41018104,קאיה,נירו,אפור,2025,20/10/2026
5483833,קאיה,פורטה,שחור,2015,22/07/2026
5741485,קיה,פורטה,אפור כהה,2017,25/04/2027
58536901,ניסן,מיקרה,אפור כהה מ,2018,08/10/2026
73585002,קיה,פיקנטו,כסף,2021,10/10/2026
73591102,קיה,פיקנטו,כסף,2021,13/10/2026
73591802,קיה,פיקנטו,שחור,2021,19/10/2026
8168138,קיה,CEED,לבן,2016,15/06/2026
9131938,קיה,פורטה,שחור,2016,27/08/2026
9920133,מיצובישי,אטראז,לבן,2015,14/02/2027
